properties_doc_report.gender,properties_doc_report.document_type,properties_doc_report.date_of_expiry,properties_doc_report.issuing_country,properties_doc_report.nationality,properties_doc_report.issuing_date,properties_doc_report.issuing_state,properties_doc_report.document_version,created_at_doc_report,result_doc_report,conclusive_document_quality_result
Female,driving_licence,2024-03-03,GBR,,,,,2017-05-23 17:25:05,clear,
,national_identity_card,2020-11-19,DEU,DEU,,,,2017-05-23 19:17:47,clear,
Female,passport,2024-01-22,FRA,FRA,,,,2017-05-23 20:49:06,clear,
Female,national_identity_card,,FRA,,2008-02,,,2017-05-24 07:47:43,consider,
Female,driving_licence,2026-10-11,GBR,,,MD,,2017-05-24 11:38:14,clear,
Male,passport,2020-05-07,GBR,GBR,,,,2017-05-24 18:31:13,clear,
Male,passport,2027-02-07,GBR,GBR,,,,2017-05-24 19:31:11,clear,
Male,driving_licence,2019-07-27,GBR,,,,,2017-05-24 19:47:10,clear,
,driving_licence,2056-03-07,GRC,,,,,2017-05-24 20:00:39,clear,
Female,driving_licence,2019-02-11,GBR,,,,,2017-05-24 20:03:18,clear,
Male,passport,2024-08-19,GBR,GBR,,,,2017-05-24 20:52:06,clear,
Male,passport,2021-07-22,GBR,GBR,,,,2017-05-24 21:53:38,clear,
Female,national_identity_card,,FRA,,2013-12,,,2017-05-25 07:39:41,clear,
Female,driving_licence,2023-12-05,GBR,,,,,2017-05-25 08:38:56,clear,
Male,national_identity_card,2021-01-21,PRT,PRT,,,,2017-05-25 14:03:52,clear,
Female,driving_licence,2021-06-07,GBR,,,,,2017-05-25 18:50:30,clear,
Female,passport,2021-06-09,FRA,FRA,,,,2017-05-25 21:29:46,clear,
Male,national_identity_card,2017-08-27,PRT,PRT,,,,2017-05-25 23:59:15,clear,
Male,national_identity_card,,FRA,,2007-10,,,2017-05-26 16:49:22,clear,
Male,driving_licence,2020-08-07,GBR,,,,,2017-05-26 17:18:20,clear,
Male,national_identity_card,2022-12-03,CYP,,,,,2017-05-26 18:42:40,clear,
Male,national_identity_card,,FRA,,2009-03,,,2017-05-26 18:43:38,clear,
Male,passport,2021-01-27,PER,PER,,,,2017-05-26 19:00:35,consider,
Female,passport,2023-06-04,GBR,GBR,,,,2017-05-27 10:23:06,clear,
,driving_licence,2028-03-25,DEU,,,,,2017-05-27 10:43:09,clear,
Male,passport,2026-06-04,GBR,GBR,,,,2017-05-27 11:18:34,clear,
Female,national_identity_card,2020-09-14,ESP,ESP,,,,2017-05-27 15:57:15,clear,
,driving_licence,2022-12-24,ESP,,,,,2017-05-28 11:58:57,clear,
Female,passport,2019-04-10,NZL,NZL,,,,2017-05-28 12:14:24,clear,
Female,passport,2027-04-27,GBR,GBR,,,,2017-05-29 09:58:14,clear,
Male,national_identity_card,2019-11-27,PRT,PRT,,,,2017-05-29 10:07:10,clear,
Female,driving_licence,2025-07-20,GBR,,,,,2017-05-29 11:28:00,clear,
Female,passport,2019-07-17,ESP,ESP,,,,2017-05-29 14:06:29,clear,
Female,passport,2025-07-23,GBR,GBR,,,,2017-05-29 14:37:41,clear,
Male,national_identity_card,,FRA,,2011-03,,,2017-05-29 14:38:21,clear,
Male,national_identity_card,2021-09-22,CYP,,,,,2017-05-29 15:00:26,clear,
Male,passport,2023-11-15,GBR,GBR,,,,2017-05-29 15:07:04,clear,
,national_identity_card,,GRC,,,,,2017-05-29 15:24:49,clear,
Male,driving_licence,2018-10-27,IRL,,,,,2017-05-29 18:57:00,clear,
,driving_licence,,PRT,,,,,2017-05-29 22:13:24,clear,
Female,passport,2020-01-04,IRL,IRL,,,,2017-05-30 06:52:24,clear,
Male,passport,2025-10-28,NLD,NLD,,,,2017-05-30 07:57:13,clear,
,driving_licence,2017-08-28,LTU,,,,,2017-05-30 16:34:32,clear,
Male,passport,2024-12-11,IRL,IRL,,,,2017-05-30 16:54:06,clear,
,national_identity_card,,GRC,,,,,2017-05-30 20:40:04,clear,
Male,national_identity_card,,FRA,,2010-03,,,2017-05-30 20:49:13,clear,
Male,driving_licence,2020-04-09,GBR,,,,,2017-05-30 21:32:32,clear,
Female,passport,2024-07-24,GBR,GBR,,,,2017-05-31 07:08:36,clear,
Male,driving_licence,2020-05-13,GBR,,,,,2017-05-31 08:12:51,clear,
,driving_licence,,POL,,,,,2017-05-31 08:48:50,clear,
Male,driving_licence,2025-01-12,GBR,,,,,2017-05-31 08:58:27,clear,
Male,driving_licence,2024-01-22,GBR,,,,,2017-05-31 11:24:42,clear,
Male,driving_licence,2020-07-16,GBR,,,,,2017-05-31 13:40:13,clear,
Male,driving_licence,2018-04-04,GBR,,,,,2017-05-31 14:32:53,clear,
Female,passport,2021-01-25,ESP,ESP,,,,2017-05-31 14:41:01,clear,
Female,national_identity_card,2027-08-16,ROU,ROU,,,,2017-05-31 17:58:14,clear,
Male,national_identity_card,2017-03-12,PRT,,,,,2017-05-31 19:30:24,clear,
Male,national_identity_card,2023-08-01,POL,POL,,,,2017-05-31 21:28:03,clear,
Male,national_identity_card,2019-12-07,HUN,HUN,,,,2017-06-01 07:20:11,consider,
,driving_licence,2023-01-31,NLD,,,,,2017-06-01 08:44:53,clear,
Male,driving_licence,2018-09-09,GBR,,,,,2017-06-01 10:11:41,clear,
Male,driving_licence,2021-10-31,GBR,,,,,2017-06-01 11:58:54,clear,
Male,passport,2020-05-28,BRA,BRA,,,,2017-06-01 12:26:52,clear,
Female,national_identity_card,2019-11-16,LTU,,,,,2017-06-01 15:23:23,clear,
Male,driving_licence,2019-01-20,GBR,,,,,2017-06-01 16:47:52,clear,
Male,passport,2024-10-09,GBR,GBR,,,,2017-06-01 17:03:47,clear,
Female,national_identity_card,2021-04-27,ROU,ROU,,,,2017-06-01 18:20:39,clear,
Male,driving_licence,2019-09-22,GBR,,,,,2017-06-02 08:05:44,clear,
Male,national_identity_card,,FRA,,2017-05,,,2017-06-02 18:28:52,clear,
Male,driving_licence,2023-11-10,GBR,,,,,2017-06-02 20:39:44,clear,
Male,passport,2027-03-01,GBR,GBR,,,,2017-06-02 21:19:01,clear,
,national_identity_card,,ITA,,,,,2017-06-02 22:28:29,clear,
Female,national_identity_card,,FRA,,2015-12,,,2017-06-03 09:05:44,consider,
Male,passport,2026-04-07,IND,IND,,,,2017-06-03 09:26:12,clear,
Male,passport,2019-07-31,GBR,GBR,,,,2017-06-03 12:20:39,clear,
Female,passport,2023-09-10,GBR,GBR,,,,2017-06-03 14:53:02,consider,
Male,national_identity_card,2018-03-08,ESP,ESP,,,,2017-06-03 16:09:14,clear,
Male,passport,2018-03-04,DEU,DEU,,,,2017-06-03 16:28:59,clear,
Female,passport,2017-07-29,ITA,ITA,,,,2017-06-04 12:47:45,clear,
Male,national_identity_card,,SGP,,,,,2017-06-04 17:13:30,clear,
Female,driving_licence,2023-02-14,GBR,,,,,2017-06-04 18:37:40,clear,
Female,national_identity_card,2020-04-07,ESP,,,,,2017-06-04 18:54:03,clear,
Male,passport,2026-03-28,FRA,FRA,,,,2017-06-05 09:25:52,clear,
Male,driving_licence,2020-09-29,GBR,,,,,2017-06-05 11:01:34,clear,
Male,driving_licence,2021-07-22,GBR,,,,,2017-06-05 13:29:18,clear,
Male,national_identity_card,2022-05-01,PRT,PRT,,,,2017-06-05 15:58:23,clear,
Male,national_identity_card,,FRA,,2013-07,,,2017-06-05 17:35:45,clear,
Male,driving_licence,2020-06-30,GBR,,,,,2017-06-05 20:12:38,clear,
Male,passport,2027-01-16,COL,COL,,,,2017-06-05 22:02:03,clear,
Male,passport,2023-01-17,RUS,RUS,,,,2017-06-06 06:11:12,clear,
Male,passport,2023-03-03,FRA,FRA,,,,2017-06-06 09:25:43,clear,
Female,passport,2021-07-07,GBR,GBR,,,,2017-06-06 16:20:18,clear,
Female,passport,2025-12-02,GBR,GBR,,,,2017-06-06 18:07:20,clear,
Male,driving_licence,2024-09-17,GBR,,,,,2017-06-06 18:29:22,clear,
,driving_licence,2019-05-25,ITA,,,,,2017-06-06 19:50:38,clear,
Male,passport,2025-07-19,GBR,GBR,,,,2017-06-06 20:28:33,clear,
Male,passport,2018-07-01,GBR,GBR,,,,2017-06-07 00:13:21,clear,
Male,passport,2023-05-09,GBR,GBR,,,,2017-06-07 05:55:10,clear,
Male,passport,2027-05-21,FRA,FRA,,,,2017-06-07 07:51:24,clear,
Female,driving_licence,2025-09-23,GBR,,,,,2017-06-07 19:36:13,clear,
Male,driving_licence,2022-07-24,GBR,,,,,2017-06-07 20:10:40,clear,
Male,passport,2026-11-10,GBR,GBR,,,,2017-06-07 20:10:47,clear,
Female,driving_licence,2021-02-02,GBR,,,,,2017-06-07 21:41:41,clear,
Male,national_identity_card,,FRA,,2013-07,,,2017-06-08 09:59:44,clear,
,national_identity_card,,GRC,,,,,2017-06-08 10:52:44,clear,
Male,driving_licence,2018-03-04,GBR,,,,,2017-06-08 18:38:06,clear,
Male,national_identity_card,2023-05-12,HUN,HUN,,,,2017-06-08 19:02:22,clear,
Female,driving_licence,2024-11-13,GBR,,,,,2017-06-08 19:05:08,clear,
,driving_licence,2029-12-22,GRC,,,,,2017-06-08 19:53:05,clear,
